inspection_id,vin,station_id,defect_id,timestamp,inspection_duration_seconds
INSP-00000001,82HFE97646DEZ9600,ST-001,NONE,2025-01-02T14:25:49,13
INSP-00000002,82HFE97646DEZ9600,ST-002,NONE,2025-01-02T17:21:36,-325
INSP-00000003,82HFE97646DEZ9600,ST-003,NONE,2025-01-02T04:48:44,364
INSP-00000004,82HFE97646DEZ9600,ST-004,NONE,2025-01-02T04:59:33,29
INSP-00000005,82HFE97646DEZ9600,ST-005,NONE,2025-01-02T00:18:30,46
INSP-00000006,82HFE97646DEZ9600,ST-006,,2025-01-02T16:06:24,49
INSP-00000007,82HFE97646DEZ9600,ST-007,NONE,2025-01-02T12:47:56,34
INSP-00000008,82HFE97646DEZ9600,ST-008,none,2025-01-02T22:07:18,382
INSP-00000009,82HFE97646DEZ9600,ST-009,NONE,2025-01-02T18:33:04,48
INSP-00000010,82HFE97646DEZ9600,ST-010,NONE,2025-01-02T04:06:17,34
INSP-00000011,82HFE97646DEZ9600,ST-011,NONE,2025-01-02T04:48:19,192
INSP-00000012,82HFE97646DEZ9600,ST-012,D002,2025-01-02T21:23:06,221
INSP-00000013,82HFE97646DEZ9600,ST-013,NONE,2025-01-02T10:25:50,289
INSP-00000014,82HFE97646DEZ9600,ST-014,NONE,2025-01-02T03:02:37,27
INSP-00000015,82HFE97646DEZ9600,ST-015,,2025-01-02T23:39:35,395
INSP-00000016,82HFE97646DEZ9600,ST-016,NONE,2025-01-02T08:54:04,13
INSP-00000017,82HFE97646DEZ9600,ST-017,NONE,2025-01-02T06:23:42,57
INSP-00000018,82HFE97646DEZ9600,ST-018,NONE,2025-01-02T06:04:44,162
INSP-00000019,82HFE97646DEZ9600,ST-019,,2025-01-02T15:37:52,201
INSP-00000020,82HFE97646DEZ9600,ST-020,NONE,2025-01-02T18:35:49,263
INSP-00000021,82HFE97646DEZ9600,ST-021,,2025-01-02T08:18:57,89
INSP-00000022,82HFE97646DEZ9600,ST-022,NONE,2025-01-02T13:56:37,216
INSP-00000023,82HFE97646DEZ9600,ST-023,NONE,2025-01-02T08:10:27,244
INSP-00000024,82HFE97646DEZ9600,ST-024,NONE,2025-01-02T01:55:03,287
INSP-00000025,82HFE97646DEZ9600,ST-025,none,2025-01-02T11:18:43,522
INSP-00000026,82HFE97646DEZ9600,ST-026,NONE,2025-01-02T16:53:27,154
INSP-00000027,82HFE97646DEZ9600,ST-027,d007,2025-01-02T05:28:55,155
INSP-00000028,2CTEVH1A3DM766542,ST-001,NONE,2025-01-01T00:03:11,31
INSP-00000029,2CTEVH1A3DM766542,ST-002,NONE,2025-01-01T17:54:51,36
INSP-00000030,2CTEVH1A3DM766542,ST-003,NONE,2025-01-01T13:33:43,298
INSP-00000031,2CTEVH1A3DM766542,ST-004,NONE,2025-01-01T20:40:25,47
INSP-00000032,2CTEVH1A3DM766542,ST-005,NONE,2025-01-01T11:52:42,35
INSP-00000033,2CTEVH1A3DM766542,ST-006,NONE,2025-01-01T03:50:48,19
INSP-00000034,2CTEVH1A3DM766542,ST-007,NONE,2025-01-01T16:52:11,29
INSP-00000035,2CTEVH1A3DM766542,ST-008,NONE,2025-01-01T11:56:04,217
INSP-00000036,2CTEVH1A3DM766542,ST-009,NONE,2025-01-01T01:07:53,21
INSP-00000037,2CTEVH1A3DM766542,ST-010,,2025-01-01T05:05:22,60
INSP-00000038,2CTEVH1A3DM766542,ST-011,,2025-01-01T13:33:10,235
